assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1999-09-21T16:00:00.000000000Z,257.75,258.25,257.75,258.0
Wc1,1999-09-21T17:00:00.000000000Z,258.0,258.0,258.0,258.0
Wc1,1999-09-23T05:00:00.000000000Z,270.0,270.0,270.0,270.0
Wc1,1999-09-23T06:00:00.000000000Z,270.5,270.5,270.5,270.5
Wc1,1999-09-23T09:00:00.000000000Z,270.75,270.75,270.75,270.75
Wc1,1999-09-23T14:00:00.000000000Z,270.0,270.5,267.0,267.5
Wc1,1999-09-23T15:00:00.000000000Z,267.0,268.5,267.0,267.5
Wc1,1999-09-23T16:00:00.000000000Z,267.25,269.0,267.0,268.75
Wc1,1999-09-23T17:00:00.000000000Z,268.5,270.5,267.5,270.5
Wc1,1999-09-23T18:00:00.000000000Z,270.25,273.75,270.25,273.25
Wc1,1999-09-24T02:00:00.000000000Z,273.25,273.25,273.0,273.25
Wc1,1999-09-24T03:00:00.000000000Z,273.5,273.5,273.5,273.5
Wc1,1999-09-24T04:00:00.000000000Z,273.25,274.0,273.0,273.0
Wc1,1999-09-24T08:00:00.000000000Z,273.5,273.5,273.25,273.25
Wc1,1999-09-24T09:00:00.000000000Z,273.0,273.0,273.0,273.0
Wc1,1999-09-24T14:00:00.000000000Z,273.5,275.25,273.5,275.0
Wc1,1999-09-24T15:00:00.000000000Z,274.75,278.0,274.25,277.0
Wc1,1999-09-24T16:00:00.000000000Z,277.25,278.0,275.5,275.75
Wc1,1999-09-24T17:00:00.000000000Z,275.5,277.5,275.0,275.75
Wc1,1999-09-24T18:00:00.000000000Z,276.0,278.5,276.0,277.75
Wc1,1999-09-27T02:00:00.000000000Z,277.0,281.0,277.0,279.5
Wc1,1999-09-27T04:00:00.000000000Z,279.75,279.75,279.5,279.75
Wc1,1999-09-27T05:00:00.000000000Z,279.5,279.5,279.5,279.5
Wc1,1999-09-27T06:00:00.000000000Z,279.75,279.75,279.0,279.75
Wc1,1999-09-27T07:00:00.000000000Z,280.0,280.0,280.0,280.0
Wc1,1999-09-27T14:00:00.000000000Z,279.0,281.0,276.5,280.0
Wc1,1999-09-27T15:00:00.000000000Z,279.75,280.75,277.25,277.5
Wc1,1999-09-27T16:00:00.000000000Z,277.25,277.5,275.0,275.75
Wc1,1999-09-27T17:00:00.000000000Z,275.5,278.5,273.5,278.5
Wc1,1999-09-27T18:00:00.000000000Z,278.0,282.5,277.5,279.75
Wc1,1999-09-28T02:00:00.000000000Z,279.75,280.0,279.5,279.5
Wc1,1999-09-28T03:00:00.000000000Z,279.25,279.25,279.25,279.25
Wc1,1999-09-28T04:00:00.000000000Z,279.75,279.75,279.0,279.0
Wc1,1999-09-28T07:00:00.000000000Z,279.75,279.75,279.0,279.0
Wc1,1999-09-28T08:00:00.000000000Z,279.25,279.25,279.0,279.0
Wc1,1999-09-28T09:00:00.000000000Z,278.75,278.75,278.75,278.75
Wc1,1999-09-28T14:00:00.000000000Z,279.5,284.0,279.5,280.75
Wc1,1999-09-28T15:00:00.000000000Z,281.0,283.5,280.5,282.5
Wc1,1999-09-28T16:00:00.000000000Z,282.25,283.75,281.0,283.75
Wc1,1999-09-28T17:00:00.000000000Z,283.5,286.5,281.25,283.75
Wc1,1999-09-28T18:00:00.000000000Z,284.0,286.0,283.5,285.75
Wc1,1999-09-29T02:00:00.000000000Z,285.75,286.0,285.0,285.5
Wc1,1999-09-29T03:00:00.000000000Z,285.75,286.0,285.5,286.0
Wc1,1999-09-29T04:00:00.000000000Z,285.75,285.75,285.75,285.75
Wc1,1999-09-29T06:00:00.000000000Z,286.5,287.0,286.5,287.0
Wc1,1999-09-29T07:00:00.000000000Z,287.5,288.5,287.5,288.0
Wc1,1999-09-29T08:00:00.000000000Z,288.25,288.5,288.0,288.0
Wc1,1999-09-29T09:00:00.000000000Z,287.75,287.75,287.75,287.75
Wc1,1999-09-29T14:00:00.000000000Z,286.5,290.0,285.5,287.0
Wc1,1999-09-29T15:00:00.000000000Z,287.25,288.5,287.0,287.75
Wc1,1999-09-29T16:00:00.000000000Z,288.0,288.5,285.0,285.25
Wc1,1999-09-29T17:00:00.000000000Z,285.0,288.25,284.25,285.75
Wc1,1999-09-29T18:00:00.000000000Z,286.0,286.0,284.0,284.25
Wc1,1999-09-30T02:00:00.000000000Z,284.25,284.5,284.0,284.25
Wc1,1999-09-30T03:00:00.000000000Z,284.0,284.25,284.0,284.25
Wc1,1999-09-30T04:00:00.000000000Z,284.0,284.0,284.0,284.0
Wc1,1999-09-30T06:00:00.000000000Z,283.75,283.75,283.75,283.75
Wc1,1999-09-30T07:00:00.000000000Z,284.0,284.0,284.0,284.0
Wc1,1999-09-30T09:00:00.000000000Z,283.75,284.0,283.75,284.0
Wc1,1999-09-30T14:00:00.000000000Z,277.0,279.0,275.0,276.5
Wc1,1999-09-30T15:00:00.000000000Z,276.25,277.5,276.0,277.0
Wc1,1999-09-30T16:00:00.000000000Z,276.75,277.25,276.25,276.5
Wc1,1999-09-30T17:00:00.000000000Z,276.25,277.0,275.5,276.0
Wc1,1999-09-30T18:00:00.000000000Z,276.25,276.5,275.25,275.75
Wc1,1999-10-01T02:00:00.000000000Z,276.0,276.75,276.0,276.75
Wc1,1999-10-01T03:00:00.000000000Z,276.5,276.5,276.0,276.0
Wc1,1999-10-01T04:00:00.000000000Z,275.75,276.0,275.75,276.0
Wc1,1999-10-01T05:00:00.000000000Z,275.75,275.75,275.75,275.75
Wc1,1999-10-01T07:00:00.000000000Z,276.0,276.0,276.0,276.0
Wc1,1999-10-01T08:00:00.000000000Z,275.75,276.0,275.75,276.0
Wc1,1999-10-01T14:00:00.000000000Z,274.5,275.5,270.5,271.5
Wc1,1999-10-01T15:00:00.000000000Z,271.25,271.5,268.0,269.0
Wc1,1999-10-01T16:00:00.000000000Z,269.25,270.0,268.75,270.0
Wc1,1999-10-01T17:00:00.000000000Z,270.0,270.0,268.75,269.0
Wc1,1999-10-01T18:00:00.000000000Z,269.25,269.25,266.0,267.0
Wc1,1999-10-04T02:00:00.000000000Z,266.0,267.0,265.5,265.75
Wc1,1999-10-04T03:00:00.000000000Z,266.0,266.0,265.5,266.0
Wc1,1999-10-04T06:00:00.000000000Z,266.25,267.0,266.25,267.0
Wc1,1999-10-04T08:00:00.000000000Z,266.0,266.0,266.0,266.0
Wc1,1999-10-04T09:00:00.000000000Z,265.5,265.75,265.5,265.75
Wc1,1999-10-04T14:00:00.000000000Z,264.0,264.75,262.0,263.75
Wc1,1999-10-04T15:00:00.000000000Z,264.0,266.0,263.5,265.5
Wc1,1999-10-04T16:00:00.000000000Z,265.75,266.75,264.5,264.5
Wc1,1999-10-04T17:00:00.000000000Z,264.75,266.75,264.25,265.75
Wc1,1999-10-04T18:00:00.000000000Z,265.5,269.5,265.25,268.75
Wc1,1999-10-05T02:00:00.000000000Z,269.0,269.5,268.5,268.5
Wc1,1999-10-05T03:00:00.000000000Z,268.75,268.75,268.75,268.75
Wc1,1999-10-05T04:00:00.000000000Z,269.0,269.0,268.0,268.0
Wc1,1999-10-05T05:00:00.000000000Z,268.5,268.5,268.5,268.5
Wc1,1999-10-05T06:00:00.000000000Z,268.75,268.75,268.75,268.75
Wc1,1999-10-05T08:00:00.000000000Z,269.0,269.0,269.0,269.0
Wc1,1999-10-05T14:00:00.000000000Z,268.0,269.0,266.0,267.0
Wc1,1999-10-05T15:00:00.000000000Z,266.75,267.25,266.0,266.5
Wc1,1999-10-05T16:00:00.000000000Z,266.25,266.75,265.5,266.75
Wc1,1999-10-05T17:00:00.000000000Z,266.5,267.0,264.5,265.5
Wc1,1999-10-05T18:00:00.000000000Z,265.75,265.75,264.0,264.5
Wc1,1999-10-06T02:00:00.000000000Z,264.5,264.5,264.0,264.0
Wc1,1999-10-06T03:00:00.000000000Z,263.75,264.0,263.75,264.0
Wc1,1999-10-06T04:00:00.000000000Z,263.5,263.75,263.5,263.75
Wc1,1999-10-06T05:00:00.000000000Z,264.0,264.0,264.0,264.0
Wc1,1999-10-06T06:00:00.000000000Z,263.75,263.75,263.75,263.75
Wc1,1999-10-06T08:00:00.000000000Z,263.5,263.5,263.0,263.0
Wc1,1999-10-06T14:00:00.000000000Z,262.0,264.5,261.5,263.25
Wc1,1999-10-06T15:00:00.000000000Z,263.5,263.5,259.0,260.75
Wc1,1999-10-06T16:00:00.000000000Z,261.0,263.5,260.5,263.0
Wc1,1999-10-06T17:00:00.000000000Z,262.75,263.25,261.25,261.5
Wc1,1999-10-06T18:00:00.000000000Z,262.0,265.5,261.5,264.25
Wc1,1999-10-07T02:00:00.000000000Z,264.5,264.5,263.5,264.0
Wc1,1999-10-07T03:00:00.000000000Z,263.75,263.75,263.25,263.25
Wc1,1999-10-07T04:00:00.000000000Z,263.0,263.0,263.0,263.0
Wc1,1999-10-07T05:00:00.000000000Z,263.25,263.25,263.25,263.25
Wc1,1999-10-07T06:00:00.000000000Z,263.0,263.0,263.0,263.0
Wc1,1999-10-07T07:00:00.000000000Z,263.5,263.5,263.5,263.5
Wc1,1999-10-07T08:00:00.000000000Z,263.25,263.25,263.0,263.0
Wc1,1999-10-07T14:00:00.000000000Z,263.5,263.75,261.5,262.25
Wc1,1999-10-07T15:00:00.000000000Z,262.0,264.5,259.5,261.0
Wc1,1999-10-07T16:00:00.000000000Z,261.25,261.5,260.75,261.25
Wc1,1999-10-07T17:00:00.000000000Z,261.5,262.25,259.75,260.0
Wc1,1999-10-07T18:00:00.000000000Z,260.25,260.25,258.5,258.75
Wc1,1999-10-08T02:00:00.000000000Z,259.75,259.75,259.0,259.5
Wc1,1999-10-08T03:00:00.000000000Z,259.75,259.75,258.0,258.5
Wc1,1999-10-08T04:00:00.000000000Z,259.0,259.0,259.0,259.0
Wc1,1999-10-08T05:00:00.000000000Z,258.5,258.5,258.5,258.5
Wc1,1999-10-08T06:00:00.000000000Z,258.0,258.0,258.0,258.0
Wc1,1999-10-08T08:00:00.000000000Z,258.25,258.75,258.25,258.5
Wc1,1999-10-08T09:00:00.000000000Z,259.0,259.0,259.0,259.0
Wc1,1999-10-08T14:00:00.000000000Z,260.0,261.0,254.5,256.0
Wc1,1999-10-08T15:00:00.000000000Z,255.75,256.5,254.0,255.75
Wc1,1999-10-08T16:00:00.000000000Z,256.0,256.25,254.75,255.75
Wc1,1999-10-08T17:00:00.000000000Z,255.5,256.25,254.25,254.75
Wc1,1999-10-08T18:00:00.000000000Z,254.5,256.5,253.5,254.75
